year,wage_agriculture,wage_industry,household_income,wage_urban_skilled,wage_urban_unskilled
1851,184.8,242.1,356.3,426.75,265.05
1852,185.7,242.7,357.5,426.75,265.05
1853,188.4,246,362.5,426.75,265.05
1854,189.9,247.8,364.8,426.75,265.05
1855,190.5,248.4,365.7,426.75,265.05
1856,192,250.2,367.8,426.75,265.05
1857,195.3,254.4,373.7,426.75,265.05
1858,197.4,256.8,376.9,426.75,265.05
1859,201,261.6,384.1,426.75,265.05
1860,200.4,260.7,382.1,426.75,265.05
1861,202.2,262.5,384.1,426.75,265.05
1862,205.5,266.7,390,426.75,265.05
1863,209.1,270.9,395.8,426.75,265.05
1864,209.7,271.5,394.4,426.75,265.05
1865,214.5,277.5,401.5,426.75,265.05
1866,219.9,284.4,409.8,426.75,265.05
1867,226.2,292.2,419,475.587874659401,295.382697547684
1868,225.3,291.3,415.7,475.587874659401,295.382697547684
1869,228.6,295.2,418.7,475.587874659401,295.382697547684
1870,231.3,298.5,420.6,465.122615803815,288.882833787466
1871,236.1,304.2,426.7,487.991144414169,303.086239782016
1872,241.2,310.8,433.4,505.045640326976,313.678610354224
1873,249.6,321.3,445.3,525.976158038147,326.678337874659
1874,255.3,328.5,452.9,543.41825613079,337.511444141689
1875,261.9,336.6,462.3,568.612397820164,353.159264305177
1876,270,346.8,473.5,585.66689373297,363.751634877384
1877,276.3,354.3,482.3,602.721389645777,374.344005449591
1878,283.2,363,491.9,623.651907356948,387.343732970027
1879,285.9,366.3,493.8,640.706403269755,397.936103542234
1880,291,372.6,500,658.148501362398,408.769209809265
1881,295.2,377.4,504.3,676.365803814714,420.08378746594
1882,299.4,382.2,508.5,693.420299727521,430.676158038147
1883,301.5,384,509,693.420299727521,430.676158038147
1884,304.8,387.9,511.8,710.474795640327,441.268528610354
1885,304.5,387,508.1,710.474795640327,441.268528610354
1886,306.6,388.8,508.5,710.474795640327,441.268528610354
1887,306.9,389.1,508.9,727.141689373297,451.620163487739
1888,309.9,391.8,512.9,727.141689373297,451.620163487739
1889,312.3,394.5,516.9,744.196185286104,462.212534059946
1890,315,397.5,521.3,744.196185286104,462.212534059946
1891,318.6,401.4,526.1,761.25068119891,472.804904632153
1892,322.2,405.3,532.4,761.25068119891,472.804904632153
1893,327,410.7,540.2,777.91757493188,483.156539509537
1894,331.2,415.5,546.2,777.91757493188,483.156539509537
1895,334.8,419.1,551.9,794.972070844687,493.748910081744
1896,336.6,420.9,554.5,812.026566757493,504.341280653951
1897,342,427.2,562.4,812.026566757493,504.341280653951
1898,348.9,435.3,578.6,828.693460490463,514.692915531335
1899,354.3,441.3,592.4,828.693460490463,514.692915531335
1900,360.3,448.2,607.2,845.74795640327,525.285286103542
1901,369,458.4,628.2,879.469346049046,546.229291553134
1902,375.6,465.9,645.2,913.190735694823,567.173297002725
1903,380.1,471,659.2,930.245231607629,577.765667574932
1904,385.5,477,675.3,963.966621253406,598.709673024523
1905,393.6,486.3,695.7,998.075613079019,619.894414168938
1906,397.8,491.1,709.8,1031.7970027248,640.838419618529
1907,402.6,496.2,725,1065.51839237057,661.78242506812
1908,411.6,506.7,748.4,1082.57288828338,672.374795640327
1909,423.9,520.8,778.2,1116.29427792916,693.318801089918
1910,435,534,806.8,1150.01566757493,714.26280653951
1911,444.6,545.7,825.6,,
1912,456.3,560.1,847.7,,
1913,471.3,578.4,876,,
